room_id	node_path	type	parent	z_index	effective_z	z_as_relative	y_sort_enabled	canvas_layer	visible	global_position
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	Node2D	/root/Chapter03Route/RoomHost	0	0	true	false	0	true	(0.0, 0.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Backdrop	Sprite2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	-100	-100	true	false	0	true	(1024.0, 360.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/MirrorBackDoor	Sprite2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	-60	-60	true	false	0	true	(108.0, 380.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/BellEmblem	Sprite2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	-60	-60	true	false	0	true	(780.0, 188.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/LeftBench	Sprite2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	-30	-30	true	false	0	true	(476.0, 560.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/RightBench	Sprite2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	-30	-30	true	false	0	true	(1072.0, 560.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/BellFont	Sprite2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	-30	-30	true	false	0	true	(780.0, 540.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Stair	Sprite2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	0	0	true	false	0	true	(1792.0, 692.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Geometry	Node2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule	0	0	true	false	0	true	(0.0, 0.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Geometry/Floor	StaticBody2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Geometry	0	0	true	false	0	true	(0.0, 0.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Geometry/Floor/CollisionShape2D	CollisionShape2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Geometry/Floor	0	0	true	false	0	true	(768.0, 666.0)
CH3_CHAPEL_VESTIBULE	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Geometry/LeftWall	StaticBody2D	/root/Chapter03Route/RoomHost/Ch3ChapelVestibule/Geometry	0	0	true	false	0	true	(0.0, 0.0)
